serial,clave,event,level0,name0,level1,name1,level2,name2,place,d_year,d_month,d_day,duration,cause,descr_cause,sources,magnitude,glide,other,killed,injured,missing,houses_destroyed,houses_damaged,victims,affected,relocated,evacuated,value_us,value_local,nschools,nhospitals,nhectares,ncatle,mts_roads,with_killed,with_injured,with_missing,with_houses_destroyed,with_hauses_damaged,with_victims,with_affected,with_relocated,with_evacuated,education,health,agriculture,water,sewage,industries,communications,transportation,power,relief,with_other,latitude,longitude,comments,defaultab,approved,uu_id
1990-0033,25771,Granizada,02,LA PAZ,0201,Murillo,020101,Nuestra Senora de La Paz,Zona de Sopocachi de la ciudad de La Paz,1990,11,16,0,Condiciones atmosféricas,Granizo acompañado de lluvias torrenciales,EL DIARIO 17/nov pág 4,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al.Taponamiento de alcantarillas/Vd.El  techo de una vivienda se hundió a causa del peso del granizo/Va.Se reportáron rajaduras en viviendas,,0,b92c3b69-fd84-4dd4-8794-240e87ff7183
1990-0034,25772,Inundación,04,ORURO,0401,Cercado,040101,Oruro,Capital,1990,12,8,0,Lluvias,Lluvias ocasionan inundación en la capital orureña,EL DIARIO 09/dic pág 8,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,0,f6c11c6e-314a-4a83-9127-fba1dfcb82ec
1991-0001,25773,Inundación,02,LA PAZ,0201,Murillo,020101,Nuestra Senora de La Paz,Ciudad de La Paz,1991,1,2,0,Lluvias,Intensas lluvias,EL DIARIO 03/ene pág 6,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Ma.La lluvia alcanzó 21 6 milímetros en dos horas/G.Fuente no proporciona fecha de Evento  se presume que paso días anteriores,,0,23e4aa95-4f6d-4388-8937-8d32d3248c69
1991-0002,25774,Inundación,02,LA PAZ,0201,Murillo,020101,Nuestra Senora de La Paz,Ciudad de La Paz,1991,1,11,0,Lluvias,Fuertes lluvias provocan inundaciones,EL DIARIO 12/ene pág 5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,G.Fuente no proporciona fecha de Evento  se presume que paso días anteriores,,0,5e1f5716-0813-4c7e-9182-fc75a77b84d7
1991-0003,25775,Inundación,06,TARIJA,0601,Cercado,060101,Tarija,Ciudad de Tarija,1991,1,16,0,Lluvias,Torrenciales lluvias inundan Tarija,EL DIARIO 17/ene pág 9,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,006882fc-1c41-44de-b2a1-563c29587afe
1991-0005,25777,Inundación,02,LA PAZ,0201,Murillo,020101,Nuestra Senora de La Paz,Zona Sur de la ciudad de La Paz,1991,2,15,0,Desbordamiento,Desbordamiento del Río Huainajahuira,EL DIARIO 16/feb pág 5,,,,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Va.A consecuencia del desbordamiento del río Huainajahuira se produce inundación que afecta a diez viviendas,,0,cda0f336-0b65-430d-9f26-99ef74a513f0
1991-0006,25778,Inundación,02,LA PAZ,0201,Murillo,020101,Nuestra Senora de La Paz,Calle Federico Zuazo de la ciudad de La Paz,1991,2,17,0,Desbordamiento,Desbordamiento del Río Choqueyapu,EL DIARIO 18/feb Primera Plana,,,,0,0,0,3,4,0,0,0,0,250000,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Va.A consecuencia del Evento 4 casas se ven afectadas/Vd.El desbordamiento del Río CHoqueyapu ocasiona tres viviendas destruídas,,0,fc630e7f-e12d-4a6b-b911-5511e4b213e4
1991-0007,25779,Aluvión,02,LA PAZ,0201,Murillo,020101,Nuestra Senora de La Paz,Avenida Simón Bolivar de la ciudad de La Paz,1991,2,19,0,Lluvias,Fuertes lluvias provocan aluvión,EL DIARIO 20/feb pág 5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,G.Fuente no proporciona fecha de Evento  se presume que paso días anteriores,,0,539fc9f3-748c-40ab-ab19-75ab693a44eb
1991-0008,25780,Deslizamiento,02,LA PAZ,0201,Murillo,,,Autopista La Paz-El Alto,1991,2,19,0,Lluvias,Fuerte lluvias provocan deslizamientos,EL DIARIO 20/feb pág 5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,0,717ccd25-828c-4a78-bedf-fa7bd2727438
1991-0009,25781,Inundación,06,TARIJA,0603,Gran Chaco,060301,Yacuiba,Yacuiba,1991,3,4,0,Lluvias,Intensas lluvias provocan inundaciones,EL DIARIO 05/mar pág 7,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,G.Fuente no proporciona fecha de Evento  se presume que paso días anteriores,,0,27c1e0b6-9204-4e32-a4db-da9ac849997c
1991-0010,25782,Deslizamiento,03,COCHABAMBA,0310,Chapare,031003,Villa Tunari,Zona El Sillar  carretera Cochabamba-Santa Cruz,1991,3,6,0,Lluvias,Intensas lluvias provocan deslizamientos,EL DIARIO 07/mar pág 9,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,G.Fuente no proporciona fecha de Evento  se presume que paso días anteriores,,0,f9f70e70-1bd3-4b5b-8555-a214e0495f60
1991-0011,25783,Incendio,02,LA PAZ,0201,Murillo,020105,El Alto,Matadero Municipal de la ciudad de El Alto,1991,3,14,0,Explosión,Explosión de un caldero que cayó de manera vertical,EL DIARIO 16/mar pág 11,,,,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S.A consecuencia de la explosión de un caldero en el Matadero Municipal se reportan el caso de tres personas fallecidas y dieciseis heridas,,0,8694bd14-4df3-45d7-87b9-b2b137930ca6
1991-0012,25784,Inundación,06,TARIJA,0602,Arce,060202,Bermejo,Población de Bermejo  quebrada cinco,1991,3,20,0,Desbordamiento,Intensas lluvias provocan desborde de río en Bermejo,EL DIARIO 21/mar pág 9,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,fd1c30e4-e1af-400b-8655-bd8bacf9273c
1991-0013,25785,Inundación,07,SANTA CRUZ,0701,Andres Ibañez,070101,Santa Cruz de la Sierra,Ciudad de Santa Cruz,1991,4,20,0,Lluvias,Intensas lluvias provocan inundaciones,EL DIARIO 21/abr Primera Plana,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,G.Fuente no proporciona fecha de Evento  se presume que paso días anteriores,,0,e478fadc-c09a-4946-a3e1-4d7d4e21c589
1991-0014,25786,Incendio,02,LA PAZ,0201,Murillo,020101,Nuestra Senora de La Paz,Calla Chacaltaya de la ciudad de La Paz,1991,5,30,0,Cortocircuito,Corto circuito provoca incendio afectando Indutria Textile,EL DIARIO 01/jun pág 5,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,0,9709f787-0cc6-421c-8eb9-8deb9c0f7010
1991-0015,25787,Nevada,02,LA PAZ,0201,Murillo,020105,El Alto,Ciudad de El Alto,1991,6,9,0,Condiciones atmosféricas,Intensa nevada cae en la ciudad de El Alto,EL DIARIO 10/jun pág 3,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ma.La acumulación de nieve alcanzó los 15 cms,,0,784bb4e0-2712-40b8-aaf3-04b157e6e6cf
1991-0016,25788,Vientos fuertes,02,LA PAZ,0201,Murillo,020105,El Alto,Ciudad de El Alto,1991,6,18,0,Condiciones atmosféricas,Fuertes vientos huracanados,EL DIARIO 19/jun pág 9,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Va.Vientos de 83 km por hora  provocan destrucción de techos de viviendas/G.Fuente no proporciona fecha de Evento  se presume que paso días anteriores,,0,6285aa23-8931-46a0-958b-672d5528c936
1991-0017,25789,Vientos fuertes,01,CHUQUISACA,0101,Oropeza,010101,Sucre,Ciudad de Sucre,1991,6,19,0,Condiciones atmosféricas,Fuertes vientos huracanados,EL DIARIO 20/jun pág 10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Va.Vientos de 65 a 70 km por hora provocan destrucción de decenas de techos y antenas de televisión en la ciudad de Sucre,,0,499529cf-00e8-4857-91e9-3146228eec7b
